t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,runs,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0.0851241817192,0.0839662562603,0.0839573835938,0.0830430579494,0.0835774853716,0.0832054150852,0.0817102435564,0.0838960018712,0.0834416351079,0.083251914107,0.0820797380293,0.0827466873486,1,0.02,30,5,10,5,20,10000,0.000789530305751,0.000713672863072,0.000789530305751,0.220503258949,0.0522926141071,0.0497485500316,0.000789530305751,0.000713672863072,0.000789530305751,0.220503258949,0.231865278368,0.220501572645
0.0830082408903,0.0839082043182,0.0832033759322,0.0836819619818,0.0834380053316,0.0838197079806,0.0820777888165,0.0834005793299,0.0830492738895,0.0837828403062,0.0838904665749,0.0827395546483,1,0.02,30,5,10,7,20,10000,0.000374818992366,0.000325389937618,0.000374818992366,0.220580364173,0.05105861895,0.0483975110592,0.000374818992366,0.000325389937618,0.000374818992366,0.220580364173,0.236655083274,0.220578002526
0.0831717032027,0.0843269368123,0.0829296069818,0.0830868791241,0.084712701077,0.0823438192669,0.0838666370439,0.0832290615956,0.0821932149245,0.0839128789423,0.0831780932335,0.0830484677954,1,0.02,30,5,10,10,20,10000,0.000267395648904,0.000218481713399,0.000267395648904,0.219336572081,0.049896024828,0.0480683293235,0.000267395648904,0.000218481713399,0.000267395648904,0.219336572081,0.242522738333,0.21933321733
0.083362325604,0.0829464084947,0.0814859213067,0.0831699371202,0.0828885330634,0.0835807312906,0.0830526115013,0.0831028807793,0.083566821038,0.0844227406433,0.0838854880265,0.0845356011321,1,0.03,30,5,10,1,20,10000,0.0705935176395,0.0684757121104,0.0705935176395,0.102283914141,0.0855200987193,0.0844612184833,0.0705935176395,0.0684757121104,0.0705935176395,0.102283914141,0.103841491051,0.102283868685
0.082658705102,0.0831974795999,0.0835248628047,0.0832239374542,0.0825363822374,0.0835550314585,0.0827978664787,0.084199318119,0.0829746856871,0.0843167031415,0.0829465014702,0.0840685264468,1,0.03,30,5,10,3,20,10000,0.00341880776819,0.00312025354222,0.00341880776819,0.212527395754,0.0612555018509,0.058863190144,0.00341880776819,0.00312025354222,0.00341880776819,0.212527395754,0.222384357773,0.212526420567
0.0827173171059,0.0827306607494,0.0843581840987,0.0819104643488,0.0841613706973,0.082820182244,0.083853212798,0.0831066968962,0.0834507834796,0.0849708672385,0.083344547954,0.0825757123897,1,0.03,30,5,10,5,20,10000,0.000815504563588,0.000700301516866,0.000815504563588,0.218603884937,0.053325837633,0.0504397779229,0.000815504563588,0.000700301516866,0.000815504563588,0.218603884937,0.235761780124,0.218602213158
0.0848292379415,0.0830420681651,0.0830370838347,0.0833779456281,0.082580452521,0.0834205300709,0.0832952623285,0.0836770728941,0.082848028807,0.0838508399368,0.082923802516,0.0831176753563,1,0.03,30,5,10,7,20,10000,0.000387809368729,0.000313343316978,0.000387809368729,0.218467860791,0.0501816888811,0.0493940727869,0.000387809368729,0.000313343316978,0.000387809368729,0.218467860791,0.24284507088,0.218465521761
0.0839265778005,0.0835035804686,0.0826999295831,0.0824572905944,0.0825948169404,0.082214875767,0.0837834837379,0.0832808068589,0.0831569039909,0.0835083849553,0.0852106012939,0.083662748009,1,0.03,30,5,10,10,20,10000,0.000280410471539,0.000206781447147,0.000280410471539,0.216112601758,0.049864663086,0.0488969640573,0.000280410471539,0.000206781447147,0.000280410471539,0.216112601758,0.251368668242,0.216109296318
0.0844176328389,0.0836247104594,0.0823111082503,0.0840176277086,0.0833731714515,0.0823453218002,0.0825630620307,0.0830612979206,0.0843063127361,0.0838337107574,0.0836054682264,0.0825405758201,1,0.04,30,5,10,1,20,10000,0.0708982998528,0.0680623678587,0.0708982998528,0.102130721899,0.0856370481553,0.0840379205487,0.0708982998528,0.0680623678587,0.0708982998528,0.102130721899,0.104214975944,0.102130676425
0.0825433043662,0.0838003796166,0.0836698452881,0.0825327512567,0.0825981982567,0.0843525737956,0.0833865163513,0.0836285632595,0.0840505607415,0.0841340837188,0.0824937984858,0.0828094248631,1,0.04,30,5,10,3,20,10000,0.00346867258068,0.00306885950434,0.00346867258068,0.211502222858,0.0620166356792,0.0587488840675,0.00346867258068,0.00306885950434,0.00346867258068,0.211502222858,0.224716372829,0.211501252376
0.0824684033917,0.0825470604671,0.0830449885801,0.0833233363825,0.0839415022005,0.0841172486933,0.0846758268983,0.0822642909489,0.0837797963939,0.0822208947019,0.083512221101,0.0841044302408,1,0.04,30,5,10,5,20,10000,0.000823720614432,0.000671639299458,0.000823720614432,0.217158276229,0.0520740066711,0.0515761209832,0.000823720614432,0.000671639299458,0.000823720614432,0.217158276229,0.240238543326,0.217156615505
