kind,lam,alpha,k,samples,l,gens,runs,t_mean0,t_mean1,t_mean2,t_mean3,t_mean4,t_mean5,t_mean6,t_mean7,t_mean8,t_mean9,t_mean10,t_mean11,t_mean12,t_mean13,t_mean14,t_mean15,t_mean16,t_mean17,t_mean18,t_mean19,t_mean20,t_mean21,t_mean22,t_mean23,t_mean24,t_mean25,t_mean26,t_mean27,t_mean28,t_mean29,t_mean30,t_mean31,t_mean32,t_mean33,t_mean34,t_mean35,t_mean36,t_mean37,t_mean38,t_mean39
r,10,1,20,200,1,50,1000,1.28203458094e-11,0.384790385043,7.32109715339e-05,0.000339094833546,0.000209429444162,1.45183329014e-07,1.98959892644e-07,7.75331646961e-08,0.00795132172774,2.43232052928e-06,0.00121726692879,1.04558063768e-07,4.90423326054e-07,0.000788881940805,1.61320927192e-07,2.32147377076e-06,2.0734230379e-05,5.50024108567e-05,2.61200062372e-08,9.78948885315e-17,4.43447347347e-10,0.37882785744,0.0274490127694,0.0340789800892,0.0389342367861,0.00733995709675,1.8724053121e-05,6.09400938352e-07,0.0516325157707,0.000547556866922,0.0437416698968,8.84644711476e-05,0.00905095258718,0.0106364988823,4.35521625099e-07,0.000898518041342,0.000553546705321,0.000749171412986,6.32815425857e-09,3.0549172956e-20
r,10,1,20,200,5,50,1000,2.81357196558e-11,0.367170524385,6.61964618999e-05,0.000361764018516,0.000193532025272,1.99169427168e-07,3.89816340926e-08,8.01466499252e-08,0.00581407580475,1.41537118662e-06,0.00127960133787,6.91893624137e-08,3.99120458416e-07,0.000528787897475,4.33520016386e-07,1.49207008196e-08,4.39538745074e-06,5.20995091107e-05,1.42851405552e-09,3.49764422322e-18,1.34193927754e-09,0.389654732535,0.0264092618368,0.0320608830628,0.0402656869533,0.00677958698592,3.72516844008e-05,9.56561888585e-07,0.0447398801836,0.000176683454303,0.0564426279486,3.54950695549e-05,0.0122355584835,0.0141927314298,2.66750183877e-07,6.25578411627e-06,0.00027341903425,0.00121509011537,2.08109107801e-09,2.75492923681e-20
r,10,1,20,200,10,50,1000,4.66557381667e-12,0.41430335866,7.56311308946e-05,0.000341017285556,0.000223045882313,1.4992950196e-07,3.12641479829e-08,9.35171678761e-08,0.00436257880918,1.04725216349e-06,0.00118750384572,1.65340977733e-07,2.06843073646e-07,0.000934406968119,1.43718589662e-07,3.64536743919e-06,5.89217981685e-07,5.46208593194e-05,9.63716035692e-09,1.72665201249e-16,2.749334363e-10,0.383814455828,0.0262838684475,0.0356266303858,0.0372369522519,0.00707006438024,2.49721159986e-05,2.1526892962e-07,0.0395762428508,0.000197472942425,0.0335578415938,3.02769987391e-05,0.00676597044877,0.00669607979841,1.14305290925e-07,0.000454161170386,0.00037044106282,0.000805991038445,3.30322298828e-09,2.29718349191e-20
r,10,1,20,200,15,50,1000,4.20206836221e-12,0.38901353652,6.90556151947e-05,0.000308417125413,0.000382920059499,1.40714619791e-07,2.18158841842e-08,1.67440414867e-08,0.00357930615857,3.29796482792e-06,0.00122919332643,9.12643316943e-08,4.68790261417e-07,0.00100078310834,6.75940152293e-08,9.38928341102e-08,8.71853051752e-06,2.66569793116e-05,1.76853457145e-07,3.8717752752e-16,3.3890946127e-10,0.390785852046,0.0270703100936,0.032677254888,0.0388873648892,0.00679079971355,1.44298736656e-05,1.17335659454e-07,0.039001582267,0.00031878016871,0.0456583872769,4.89085261406e-05,0.0130390286477,0.00854837379311,1.47656964173e-07,2.38450499304e-05,0.000441933144092,0.00106982365663,9.75723805502e-08,1.07109341589e-21
r,30,1,5,200,1,50,1000,3.31955734993e-12,0.3852139095,7.69625692935e-05,0.000263055584398,0.000228246970449,1.24852902369e-07,2.16647228001e-08,9.47173947515e-08,0.00353747103531,7.08906533984e-07,0.00116366621363,1.69813402471e-07,5.01383675628e-07,0.000611681680986,2.40579761859e-07,7.22443502371e-08,4.53383845934e-06,1.78443859053e-05,2.01429449542e-09,6.31319260582e-19,3.59166723141e-10,0.38096009049,0.0301908442119,0.0389736885901,0.0441438347486,0.00893478333481,1.44440028987e-05,3.23220360155e-07,0.0466668845429,0.000249331896449,0.037163121037,3.22216413748e-05,0.0126274585966,0.00712792672834,7.7038387277e-07,1.27920814226e-05,0.000270968662517,0.00151120582278,1.68981891748e-09,5.37307575273e-23
r,30,1,5,200,5,50,1000,6.78048050288e-12,0.371042264832,6.87328081421e-05,0.000253799395845,0.000206073792978,1.36704289141e-07,2.41214926044e-08,6.59191841699e-08,0.00452525593044,2.96065200042e-06,0.00132719978244,1.53129357628e-07,4.94262122323e-07,0.000738190665807,3.02096942546e-07,2.07677496e-07,1.63447817997e-05,9.80023692651e-05,2.9313740306e-09,2.81451846793e-17,3.67816757777e-10,0.383283748477,0.0323386000678,0.03739998688,0.0426466700706,0.00874439499101,1.69218358293e-05,2.96747906469e-07,0.0489201856884,0.000771531053622,0.0417114517034,3.42629893903e-05,0.0119034696602,0.0110713061759,1.66017145005e-06,2.2084762364e-05,0.00140193977526,0.00145127286051,3.8620840384e-09,1.12801772016e-21
r,30,1,5,200,10,50,1000,4.60554211813e-12,0.388011768685,6.2793679439e-05,0.000285163717404,0.000199233541553,1.18754838656e-07,3.98457950642e-08,1.00468119799e-06,0.00838631224025,7.33292871504e-06,0.000764803628543,7.79520188401e-08,2.90826765764e-07,6.60527946863e-05,4.70180387764e-07,7.23744345455e-08,2.45878191825e-06,0.000238364515752,1.83471551476e-07,2.10682877523e-15,2.79085694733e-10,0.373844434607,0.0298717888225,0.036669042582,0.0429797364632,0.00906160915952,1.65594952178e-05,7.00165550156e-06,0.0493820735473,0.00169002414773,0.0373271399268,2.76190324169e-05,0.0118347241568,0.00689951631661,1.39982132393e-07,4.52729523743e-05,4.3819832125e-05,0.00227288100651,7.34305953401e-08,7.41785471943e-19
r,30,1,5,200,15,50,1000,3.16389249503e-12,0.378446012701,6.96054801701e-05,0.000234878561429,0.000296785821225,1.29022164403e-07,1.80370798745e-08,3.47097567947e-08,0.0028227523038,5.32784828137e-07,0.00113976341669,2.29651181929e-07,4.82804913148e-07,0.000809912700324,1.22003675591e-07,2.14430901714e-05,2.80508856137e-05,4.54142282925e-05,2.04166671761e-08,1.52185121312e-13,2.96090528965e-10,0.375645385661,0.0310528601355,0.0357854068635,0.0420950234156,0.00935938772382,1.45978320284e-05,1.00568895439e-07,0.0502799899124,0.000250428387742,0.0375936897566,4.66488056199e-05,0.0123910400564,0.0180099071669,7.47014257224e-07,0.000806680699343,0.00214345949637,0.000608449024427,8.56138440731e-09,2.13938962416e-17
r,30,1,10,200,1,50,1000,3.39522935196e-12,0.378327076809,6.98671025016e-05,0.000273925301557,0.00025188898612,1.31698996023e-07,1.979543406e-08,2.28380600823e-07,0.00509485054816,1.24132071209e-06,0.000852258446547,6.21454784397e-08,4.13519055239e-07,0.000842858741064,1.34731186269e-07,1.299240385e-08,2.73007833849e-05,0.000183210404048,5.17722758879e-08,6.37677430066e-18,3.77997412552e-10,0.386623206329,0.0297584730052,0.036599350861,0.0463149975102,0.00876592399271,1.51503099529e-05,9.35463624986e-07,0.044570296461,0.000308059560999,0.0397777774062,5.07827719199e-05,0.00927703232268,0.0104745060011,3.47262804546e-07,4.16603136477e-05,0.000655200711782,0.000840706873236,5.89828009126e-08,5.81800092817e-22
r,30,1,10,200,5,50,1000,5.15684784216e-12,0.383610280511,7.1920516206e-05,0.000307535588507,0.000187948909366,1.2234147831e-07,1.73283137204e-08,4.1005783776e-08,0.00348113051852,1.13703557603e-06,0.000879740031209,8.21578655752e-08,3.38706072767e-07,0.00048346704883,5.74020151407e-08,2.62679424014e-07,1.66722029249e-05,3.9434918475e-05,5.84283421174e-08,2.62207890803e-16,6.20168170232e-10,0.385234154125,0.0312910037846,0.0356852310026,0.0442996151233,0.00929602354844,1.61554586877e-05,1.49719488132e-07,0.0408578577906,0.000176401040738,0.0420368448282,3.38400488059e-05,0.0129986363277,0.00673442845258,6.71943957113e-07,5.02802992226e-05,0.000764913025062,0.0014434495692,9.59559850869e-08,9.8287078004e-21
