alpha,k,sample_amount,learning_parameter,epsilon,delta,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0.1,1,1,3,0.3,0.5,0.0847261839888,0.0847261839888,0.0847261839888,0.0562137990876,0.0721283968382,0.0688115862381,0.0847261839888,0.0847261839888,0.0847261839888,0.115899502867,0.0923332302635,0.0862563807726
0.1,1,1,3,0.3,0.8,0.0811009035996,0.0811009035996,0.0811009035996,0.0587249850762,0.076449333864,0.0633765548118,0.0811009035996,0.0811009035996,0.0811009035996,0.124183061449,0.101990971272,0.0886696719291
0.1,1,1,3,0.5,0.1,0.0778270330225,0.0778270330225,0.0778270330225,0.0609927539215,0.0651066423305,0.0737131446134,0.0778270330225,0.0778270330225,0.0778270330225,0.131663668687,0.0967442674197,0.104817324894
0.1,1,1,3,0.5,0.3,0.0808132020034,0.0808132020034,0.0808132020034,0.0589242723423,0.0669528934218,0.0727845809238,0.0808132020034,0.0808132020034,0.0808132020034,0.124840443161,0.0952722881961,0.0963463099351
0.1,1,1,3,0.5,0.5,0.0811157851586,0.0811157851586,0.0811157851586,0.0587146768081,0.0685906558193,0.0712398061474,0.0811157851586,0.0811157851586,0.0811157851586,0.124149057937,0.0960700439199,0.0945410484167
0.1,1,1,3,0.5,0.8,0.0784393777933,0.0784393777933,0.0784393777933,0.0605685904242,0.0753720686804,0.063635899537,0.0784393777933,0.0784393777933,0.0784393777933,0.130264495868,0.103624051633,0.0958986270979
0.1,1,1,3,0.8,0.1,0.0790097471142,0.0790097471142,0.0790097471142,0.0601735027914,0.060930940122,0.0782523097837,0.0790097471142,0.0790097471142,0.0790097471142,0.128961234554,0.0910440812828,0.106579448781
0.1,1,1,3,0.8,0.3,0.0827547230515,0.0827547230515,0.0827547230515,0.0575794052067,0.0621889325114,0.0781451957468,0.0827547230515,0.0827547230515,0.0827547230515,0.120404178482,0.0863601907874,0.0987937589566
0.1,1,1,3,0.8,0.5,0.0817328555291,0.0817328555291,0.0817328555291,0.0582872399475,0.0634304302858,0.0765896651908,0.0817328555291,0.0817328555291,0.0817328555291,0.122739087393,0.0902690488509,0.0982873951575
0.1,1,1,3,0.8,0.8,0.0768485624217,0.0768485624217,0.0768485624217,0.0616705281621,0.0666889341831,0.0718301564008,0.0768485624217,0.0768485624217,0.0768485624217,0.133899418111,0.0985209955966,0.106298593016
0.1,1,1,5,0.1,0.1,0.0470017372185,0.0470017372185,0.0470017372185,0.0527872164229,0.0531729198977,0.0466160337437,0.0470017372185,0.0470017372185,0.0470017372185,0.244306521679,0.168936505636,0.15217037931
0.1,1,1,5,0.1,0.3,0.0617673533063,0.0617673533063,0.0617673533063,0.0454752373581,0.0568693323477,0.0503732583167,0.0617673533063,0.0617673533063,0.0617673533063,0.205847100408,0.137776098064,0.133054853669
0.1,1,1,5,0.1,0.5,0.0680517916244,0.0680517916244,0.0680517916244,0.0423631639341,0.0608290008148,0.0495859547436,0.0680517916244,0.0680517916244,0.0680517916244,0.18947827033,0.135600182939,0.113832677492
0.1,1,1,5,0.1,0.8,0.0757059752819,0.0757059752819,0.0757059752819,0.0385727883528,0.0692286160851,0.0450501475495,0.0757059752819,0.0757059752819,0.0757059752819,0.169541718274,0.125777267599,0.0975936104483
0.1,1,1,5,0.3,0.1,0.0619567951126,0.0619567951126,0.0619567951126,0.0453814251857,0.0542418515563,0.053096368742,0.0619567951126,0.0619567951126,0.0619567951126,0.205353668763,0.1373365739,0.132849341178
0.1,1,1,5,0.3,0.3,0.0672732268689,0.0672732268689,0.0672732268689,0.0427487116253,0.0582812992834,0.0517406392108,0.0672732268689,0.0672732268689,0.0672732268689,0.191506167421,0.131778977784,0.120304843461
0.1,1,1,5,0.3,0.5,0.0728533931506,0.0728533931506,0.0728533931506,0.0399853959067,0.06229121066,0.0505475783974,0.0728533931506,0.0728533931506,0.0728533931506,0.176971727103,0.121235587391,0.111848141639
0.1,1,1,5,0.3,0.8,0.0735469075082,0.0735469075082,0.0735469075082,0.0396419654373,0.0661325795443,0.0470562934013,0.0735469075082,0.0735469075082,0.0735469075082,0.175165357448,0.12956105665,0.101161302469
0.1,1,1,5,0.5,0.1,0.0686261074781,0.0686261074781,0.0686261074781,0.042078760935,0.0453548981316,0.0653499702815,0.0686261074781,0.0686261074781,0.0686261074781,0.187982372345,0.112690137998,0.134787215441
0.1,1,1,5,0.5,0.3,0.0766960749474,0.0766960749474,0.0766960749474,0.0380824879153,0.051988107504,0.0627904553588,0.0766960749474,0.0766960749474,0.0766960749474,0.166962844497,0.103683595306,0.116316059735
0.1,1,1,5,0.5,0.5,0.0726895891922,0.0726895891922,0.0726895891922,0.040066512137,0.0566245802257,0.0561315211035,0.0726895891922,0.0726895891922,0.0726895891922,0.177398380851,0.119654160063,0.113987310467
0.1,1,1,5,0.5,0.8,0.071163506064,0.071163506064,0.071163506064,0.0408222332541,0.063761460921,0.0482242783971,0.071163506064,0.071163506064,0.071163506064,0.181373309738,0.128862197915,0.109975483391
0.1,1,1,5,0.8,0.1,0.0721289949364,0.0721289949364,0.0721289949364,0.0403441201581,0.0420420879804,0.0704310271141,0.0721289949364,0.0721289949364,0.0721289949364,0.178858538728,0.09825487867,0.137295377731
