alpha,k,sample_amount,learning_parameter,epsilon,delta,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
1,1,5,1,0.8,0.8,0.0883632561504,0.0883632561504,0.0883632561504,0.0812550530758,0.0845718621775,0.0850464470488,0.0883632561504,0.0883632561504,0.0883632561504,0.072981435905,0.0729828324453,0.0729828324453
1,1,5,3,0.1,0.1,0.0486148113784,0.0486148113784,0.0486148113784,0.0715112162937,0.0605292583232,0.0595967693489,0.0486148113784,0.0486148113784,0.0486148113784,0.172240266517,0.172216810624,0.172216810624
1,1,5,3,0.1,0.3,0.0625501071403,0.0625501071403,0.0625501071403,0.0635721182846,0.0679507645303,0.0581714608946,0.0625501071403,0.0625501071403,0.0625501071403,0.145014836683,0.144995088383,0.144995088383
1,1,5,3,0.1,0.5,0.073534809251,0.073534809251,0.073534809251,0.0573140073591,0.0761062198482,0.0547425967619,0.073534809251,0.073534809251,0.073534809251,0.123553990665,0.12353716493,0.12353716493
1,1,5,3,0.1,0.8,0.0802981416951,0.0802981416951,0.0802981416951,0.053460859205,0.0832395896891,0.050519411211,0.0802981416951,0.0802981416951,0.0802981416951,0.110340447441,0.110325421142,0.110325421142
1,1,5,3,0.3,0.1,0.0627500228095,0.0627500228095,0.0627500228095,0.0634582240323,0.0588638944927,0.0673443523491,0.0627500228095,0.0627500228095,0.0627500228095,0.14462426083,0.144604565719,0.144604565719
1,1,5,3,0.3,0.3,0.0759278337182,0.0759278337182,0.0759278337182,0.055950673842,0.0655680896975,0.0663104178627,0.0759278337182,0.0759278337182,0.0759278337182,0.118878731465,0.118862542412,0.118862542412
1,1,5,3,0.3,0.5,0.0809959033707,0.0809959033707,0.0809959033707,0.0530633363663,0.0731280815675,0.0609311581695,0.0809959033707,0.0809959033707,0.0809959033707,0.108977228327,0.108962387673,0.108962387673
1,1,5,3,0.3,0.8,0.0815904234845,0.0815904234845,0.0815904234845,0.0527246314308,0.07987081322,0.0544442416953,0.0815904234845,0.0815904234845,0.0815904234845,0.107815712567,0.10780103009,0.10780103009
1,1,5,3,0.5,0.1,0.0741671188937,0.0741671188937,0.0741671188937,0.0569537732951,0.0555651050022,0.0755557871866,0.0741671188937,0.0741671188937,0.0741671188937,0.122318645388,0.122301987883,0.122301987883
1,1,5,3,0.5,0.3,0.0795692070861,0.0795692070861,0.0795692070861,0.0538761416219,0.0603576162617,0.0730877324462,0.0795692070861,0.0795692070861,0.0795692070861,0.11176456921,0.111749348972,0.111749348972
1,1,5,3,0.5,0.5,0.0832337540152,0.0832337540152,0.0832337540152,0.0517884071578,0.0674990233672,0.0675231378058,0.0832337540152,0.0832337540152,0.0832337540152,0.104605132697,0.10459088744,0.10459088744
1,1,5,3,0.5,0.8,0.0782198414901,0.0782198414901,0.0782198414901,0.0546448906961,0.0745074561674,0.0583572760188,0.0782198414901,0.0782198414901,0.0782198414901,0.11440082889,0.114385249644,0.114385249644
