t11_initial,alpha,k,sample_amount,learning_parameter,epsilon,delta,t11_final
0.0832972397511,0.1,1,10,1,0.3,0.1,0.0771491530583
0.0859807433492,0.1,1,10,1,0.3,0.3,0.0742897002287
0.0816714332726,0.1,1,10,1,0.3,0.5,0.0724767025759
0.0815733006366,0.1,1,10,1,0.3,0.8,0.0739753381034
0.0855041262656,0.1,1,10,1,0.5,0.1,0.070654606753
0.082255996936,0.1,1,10,1,0.5,0.3,0.0693440617187
0.0823559967505,0.1,1,10,1,0.5,0.5,0.0702629329886
0.0830458525346,0.1,1,10,1,0.5,0.8,0.0738471614406
0.0832085968604,0.1,1,10,1,0.8,0.1,0.0662582088833
0.0835234203061,0.1,1,10,1,0.8,0.3,0.0660488785935
0.0850729933543,0.1,1,10,1,0.8,0.5,0.0701981798948
0.0825286033764,0.1,1,10,1,0.8,0.8,0.0771833362129
0.0843564949995,0.1,1,10,3,0.1,0.1,0.134907033755
0.0829717694524,0.1,1,10,3,0.1,0.3,0.123074414563
0.0847395165405,0.1,1,10,3,0.1,0.5,0.110070237485
0.0829566642107,0.1,1,10,3,0.1,0.8,0.105218628264
0.0830466082034,0.1,1,10,3,0.3,0.1,0.11377712139
0.0832210981909,0.1,1,10,3,0.3,0.3,0.100417064744
0.0835003983125,0.1,1,10,3,0.3,0.5,0.0997976865868
0.0850247105688,0.1,1,10,3,0.3,0.8,0.101864701436
0.0840246173481,0.1,1,10,3,0.5,0.1,0.0943577614689
0.0852081195024,0.1,1,10,3,0.5,0.3,0.0896897965282
0.0861008557258,0.1,1,10,3,0.5,0.5,0.0927822709804
0.0840338456824,0.1,1,10,3,0.5,0.8,0.104121761172
0.0815591729844,0.1,1,10,3,0.8,0.1,0.0820172581901
0.0844380167471,0.1,1,10,3,0.8,0.3,0.0837879404379
0.0840914149932,0.1,1,10,3,0.8,0.5,0.0916959034574
0.0829934687838,0.1,1,10,3,0.8,0.8,0.11121172845
0.081969672068,0.1,1,10,5,0.1,0.1,0.184016322881
0.0846957330874,0.1,1,10,5,0.1,0.3,0.160575363374
0.0841775213749,0.1,1,10,5,0.1,0.5,0.147684587334
0.0823210323719,0.1,1,10,5,0.1,0.8,0.138615702231
0.0838161482076,0.1,1,10,5,0.3,0.1,0.139563160139
0.0837768117163,0.1,1,10,5,0.3,0.3,0.125587022346
0.0830350451171,0.1,1,10,5,0.3,0.5,0.127224514083
0.0853202289704,0.1,1,10,5,0.3,0.8,0.13005650232
0.0826213758185,0.1,1,10,5,0.5,0.1,0.110263469608
0.0837279031871,0.1,1,10,5,0.5,0.3,0.106179313062
0.0842353784283,0.1,1,10,5,0.5,0.5,0.110964796376
