t11_initial,alpha,k,sample_amount,learning_parameter,epsilon,delta,t11_final
0.0859325776746,1,1,5,5,0.3,0.1,0.196176396808
0.0847740711773,1,1,5,5,0.3,0.3,0.161641040671
0.0826840749629,1,1,5,5,0.3,0.5,0.147416073601
0.0828316935133,1,1,5,5,0.3,0.8,0.139341509872
0.0820849498255,1,1,5,5,0.5,0.1,0.159364361007
0.0858210110677,1,1,5,5,0.5,0.3,0.13926672239
0.083814888879,1,1,5,5,0.5,0.5,0.140147239417
0.0823159768051,1,1,5,5,0.5,0.8,0.149491893171
0.082907742322,1,1,5,5,0.8,0.1,0.139788462056
0.0818121718985,1,1,5,5,0.8,0.3,0.144131263908
0.0832696676687,1,1,5,5,0.8,0.5,0.147794276041
0.0822112963049,1,1,5,5,0.8,0.8,0.176217196198
0.0830989278395,1,1,5,10,0.1,0.1,0.295473602276
0.0834105546165,1,1,5,10,0.1,0.3,0.239048226983
0.0842210409691,1,1,5,10,0.1,0.5,0.203027479556
0.0847520986747,1,1,5,10,0.1,0.8,0.169659802877
0.0842822548781,1,1,5,10,0.3,0.1,0.239764295549
0.0831725532294,1,1,5,10,0.3,0.3,0.191591871418
0.0829652358008,1,1,5,10,0.3,0.5,0.172186577673
0.0818370877912,1,1,5,10,0.3,0.8,0.16163631653
0.0817368223206,1,1,5,10,0.5,0.1,0.198853049959
0.0824382209322,1,1,5,10,0.5,0.3,0.170428653884
0.0828708411717,1,1,5,10,0.5,0.5,0.165132716313
0.0817221828887,1,1,5,10,0.5,0.8,0.17365501257
0.0829667004867,1,1,5,10,0.8,0.1,0.165849609095
0.0845588511773,1,1,5,10,0.8,0.3,0.163879549664
0.0838632796111,1,1,5,10,0.8,0.5,0.177761472126
0.0826776556081,1,1,5,10,0.8,0.8,0.216802290411
0.0829511350855,1,1,5,15,0.1,0.1,0.306594806893
0.0842800081266,1,1,5,15,0.1,0.3,0.246353854596
0.0801856119292,1,1,5,15,0.1,0.5,0.205676664912
0.0837663208501,1,1,5,15,0.1,0.8,0.16894956251
0.0829056790014,1,1,5,15,0.3,0.1,0.24732772159
0.0843049787605,1,1,5,15,0.3,0.3,0.201898922521
0.0834484904639,1,1,5,15,0.3,0.5,0.173988192928
0.0833979675346,1,1,5,15,0.3,0.8,0.168053511209
0.0830089052544,1,1,5,15,0.5,0.1,0.205761387993
0.0828330772551,1,1,5,15,0.5,0.3,0.177452935716
0.0835251321473,1,1,5,15,0.5,0.5,0.168912990836
0.0830372811966,1,1,5,15,0.5,0.8,0.188940314626
0.0856475149039,1,1,5,15,0.8,0.1,0.16647271506
0.0811898549894,1,1,5,15,0.8,0.3,0.172323879359
0.0822552273219,1,1,5,15,0.8,0.5,0.181091108711
0.0840265168984,1,1,5,15,0.8,0.8,0.224104665355
0.0844731322282,1,1,5,20,0.1,0.1,0.311136679608
0.0834804110805,1,1,5,20,0.1,0.3,0.253247626787
0.0829956648724,1,1,5,20,0.1,0.5,0.21156747951
0.0823549886456,1,1,5,20,0.1,0.8,0.174131268332
0.082505493657,1,1,5,20,0.3,0.1,0.252283727287
0.0827339028583,1,1,5,20,0.3,0.3,0.202869660108
0.0820380872294,1,1,5,20,0.3,0.5,0.176716617212
0.0851816073862,1,1,5,20,0.3,0.8,0.167187153072
0.082875075923,1,1,5,20,0.5,0.1,0.207702631375
0.0826230384183,1,1,5,20,0.5,0.3,0.17591664896
0.0834754847171,1,1,5,20,0.5,0.5,0.168687934497
0.0840249485649,1,1,5,20,0.5,0.8,0.179096087207
0.0822706957274,1,1,5,20,0.8,0.1,0.178776134441
0.0831406594986,1,1,5,20,0.8,0.3,0.170273497728
0.0837479994247,1,1,5,20,0.8,0.5,0.179357339277
0.0840958990703,1,1,5,20,0.8,0.8,0.225212058881
0.0847770902029,1,1,20,1,0.1,0.1,0.0852389762166
0.0835350129495,1,1,20,1,0.1,0.3,0.0771774978023
0.0832587035849,1,1,20,1,0.1,0.5,0.0697156760023
0.0824356499832,1,1,20,1,0.1,0.8,0.0629588773196
0.0808643691369,1,1,20,1,0.3,0.1,0.0777380235927
0.0823657539122,1,1,20,1,0.3,0.3,0.0687366019433
0.0837337525046,1,1,20,1,0.3,0.5,0.0636246958984
0.0831397324737,1,1,20,1,0.3,0.8,0.0628143721892
0.0852473496941,1,1,20,1,0.5,0.1,0.0695397812772
0.0819419346046,1,1,20,1,0.5,0.3,0.0637127239477
0.0838280007581,1,1,20,1,0.5,0.5,0.062399891233
0.084222892747,1,1,20,1,0.5,0.8,0.0655834739973
0.0839943875394,1,1,20,1,0.8,0.1,0.0636802813644
0.0833741050271,1,1,20,1,0.8,0.3,0.0630045251254
0.0849340760335,1,1,20,1,0.8,0.5,0.0659746870541
0.0839948650083,1,1,20,1,0.8,0.8,0.0740395678651
0.0825594426525,1,1,20,3,0.1,0.1,0.171353480925
0.0828438103403,1,1,20,3,0.1,0.3,0.144767100853
0.0842110912946,1,1,20,3,0.1,0.5,0.124016755823
0.083260525099,1,1,20,3,0.1,0.8,0.108332102038
0.0826532000381,1,1,20,3,0.3,0.1,0.145528279528
